dataset,method,retained_kv,denom,failures,flip_rate,ERR,ECov,DRR,delta_NLL,GPR,signal
"RULER-8K","StreamingLLM","0.75","968","287","0.296488","0.258188","0.258188","0.770997","1.505592","0.485152","Evidence deletion"
"RULER-8K","SnapKV","0.75","968","24","0.024793","1.000000","1.000000","","0.032930","0.971133","Scorer/output fragility"
"RULER-8K","TOVA","0.75","968","12","0.012397","1.000000","1.000000","1.000000","0.071551","0.952106","Scorer/output fragility"
"RULER-8K","PyramidKV","0.75","968","24","0.024793","1.000000","1.000000","","0.032930","0.971133","Scorer/output fragility"
"RULER-8K","KeyDiff","0.75","968","52","0.053719","1.000000","1.000000","1.000000","0.096602","0.927236","Scorer/output fragility"
"RULER-8K","ThinK","0.75","968","21","0.021694","1.000000","1.000000","","0.012629","0.988697","Scorer/output fragility"
"RULER-8K","ChunkKV","0.75","968","171","0.176653","1.000000","1.000000","0.999631","0.695541","0.753738","Mixed"
"RULER-8K","AdaKV","0.75","968","15","0.015496","1.000000","1.000000","","0.002511","0.997530","Scorer/output fragility"
"RULER-8K","Quantized","0.75","968","9","0.009298","1.000000","1.000000","","-0.000033","1.000033","Scorer/output fragility"
"RULER-8K","StreamingLLM","0.50","968","547","0.565083","0.171281","0.172943","0.491362","1.954504","0.350580","Evidence deletion"
"RULER-8K","SnapKV","0.50","968","111","0.114669","1.000000","1.000000","1.000000","0.345025","0.759269","Mixed"
"RULER-8K","TOVA","0.50","968","48","0.049587","1.000000","1.000000","0.984032","0.176698","0.881720","Mixed"
"RULER-8K","PyramidKV","0.50","968","111","0.114669","1.000000","1.000000","1.000000","0.345025","0.759269","Mixed"
"RULER-8K","KeyDiff","0.50","968","140","0.144628","1.000000","1.000000","1.000000","0.530999","0.725249","Mixed"
"RULER-8K","ThinK","0.50","968","968","1.000000","1.000000","1.000000","1.000000","7.827248","0.024989","Retained but drifted"
"RULER-8K","ChunkKV","0.50","968","359","0.370868","0.989438","1.000000","0.968951","1.143143","0.642993","Retained but drifted"
"RULER-8K","AdaKV","0.50","968","71","0.073347","1.000000","1.000000","1.000000","0.202203","0.845401","Mixed"
"RULER-8K","Quantized","0.50","968","27","0.027893","1.000000","1.000000","","0.006854","0.993476","Scorer/output fragility"
"RULER-8K","StreamingLLM","0.25","968","789","0.815083","0.079052","0.081242","0.233606","2.133335","0.282991","Evidence deletion"
"RULER-8K","SnapKV","0.25","968","246","0.254132","0.999126","1.000000","0.994871","0.897024","0.551427","Mixed"
"RULER-8K","TOVA","0.25","968","213","0.220041","0.976636","1.000000","0.785907","0.833101","0.577803","Mixed"
"RULER-8K","PyramidKV","0.25","968","246","0.254132","0.999126","1.000000","0.994871","0.897024","0.551427","Mixed"
"RULER-8K","KeyDiff","0.25","968","293","0.302686","0.999869","1.000000","0.999871","1.043125","0.584907","Retained but drifted"
"RULER-8K","ThinK","0.25","0","0","","","","","","","Unsupported"
"RULER-8K","ChunkKV","0.25","968","513","0.529959","0.899962","0.991813","0.771169","1.633037","0.451982","Retained but drifted"
"RULER-8K","AdaKV","0.25","968","233","0.240702","0.999627","1.000000","0.998190","0.795142","0.572170","Mixed"
"RULER-8K","Quantized","0.25","968","821","0.848140","1.000000","1.000000","1.000000","2.404452","0.260880","Retained but drifted"
"RULER-16K","StreamingLLM","0.75","951","302","0.317560","0.263818","0.276821","0.757809","1.689058","0.479861","Evidence deletion"
"RULER-16K","SnapKV","0.75","951","13","0.013670","1.000000","1.000000","","0.038491","0.969615","Scorer/output fragility"
"RULER-16K","TOVA","0.75","951","9","0.009464","1.000000","1.000000","","-0.000222","1.000222","Scorer/output fragility"
"RULER-16K","PyramidKV","0.75","951","13","0.013670","1.000000","1.000000","","0.038491","0.969615","Scorer/output fragility"
"RULER-16K","KeyDiff","0.75","951","39","0.041009","1.000000","1.000000","1.000000","0.105380","0.920000","Mixed"
"RULER-16K","ThinK","0.75","951","17","0.017876","1.000000","1.000000","","0.023188","0.983005","Scorer/output fragility"
"RULER-16K","ChunkKV","0.75","951","164","0.172450","1.000000","1.000000","0.999970","0.423315","0.834555","Mixed"
"RULER-16K","AdaKV","0.75","951","7","0.007361","1.000000","1.000000","","0.000015","0.999985","Scorer/output fragility"
"RULER-16K","Quantized","0.75","951","4","0.004206","1.000000","1.000000","","0.037338","0.965324","Scorer/output fragility"
"RULER-16K","StreamingLLM","0.50","951","555","0.583596","0.161319","0.165225","0.475805","2.107181","0.341134","Evidence deletion"
"RULER-16K","SnapKV","0.50","951","34","0.035752","1.000000","1.000000","1.000000","0.116912","0.907982","Mixed"
"RULER-16K","TOVA","0.50","951","33","0.034700","0.999601","1.000000","0.989905","0.134511","0.899593","Mixed"
"RULER-16K","PyramidKV","0.50","951","34","0.035752","1.000000","1.000000","1.000000","0.116912","0.907982","Mixed"
"RULER-16K","KeyDiff","0.50","951","114","0.119874","1.000000","1.000000","1.000000","0.594561","0.681158","Mixed"
"RULER-16K","ThinK","0.50","951","951","1.000000","1.000000","1.000000","1.000000","7.958135","0.014547","Retained but drifted"
"RULER-16K","ChunkKV","0.50","951","310","0.325973","0.991734","1.000000","0.975481","0.870057","0.642562","Mixed"
"RULER-16K","AdaKV","0.50","951","23","0.024185","1.000000","1.000000","","-0.017165","1.034267","Scorer/output fragility"
"RULER-16K","Quantized","0.50","951","28","0.029443","1.000000","1.000000","","0.002073","0.997944","Scorer/output fragility"
"RULER-16K","StreamingLLM","0.25","951","738","0.776025","0.069019","0.069580","0.227834","2.290367","0.259840","Evidence deletion"
"RULER-16K","SnapKV","0.25","951","160","0.168244","1.000000","1.000000","0.997615","0.502371","0.683726","Mixed"
"RULER-16K","TOVA","0.25","951","166","0.174553","0.958691","1.000000","0.787771","0.758813","0.600722","Mixed"
"RULER-16K","PyramidKV","0.25","951","160","0.168244","1.000000","1.000000","0.997615","0.502371","0.683726","Mixed"
"RULER-16K","KeyDiff","0.25","951","267","0.280757","1.000000","1.000000","0.999779","1.065277","0.557688","Retained but drifted"
"RULER-16K","ThinK","0.25","0","0","","","","","","","Unsupported"
"RULER-16K","ChunkKV","0.25","951","448","0.471083","0.914427","0.995536","0.801149","1.394518","0.466870","Retained but drifted"
"RULER-16K","AdaKV","0.25","951","131","0.137750","1.000000","1.000000","0.997876","0.408657","0.724492","Mixed"
"RULER-16K","Quantized","0.25","951","883","0.928496","1.000000","1.000000","1.000000","2.230439","0.260347","Retained but drifted"
"LongBench V2 proxy90","StreamingLLM","0.75","90","0","0.000000","","","","","","No selected failures"
"LongBench V2 proxy90","SnapKV","0.75","90","0","0.000000","","","","","","No selected failures"
"LongBench V2 proxy90","TOVA","0.75","90","0","0.000000","","","","","","No selected failures"
"LongBench V2 proxy90","PyramidKV","0.75","90","0","0.000000","","","","","","No selected failures"
"LongBench V2 proxy90","KeyDiff","0.75","90","1","0.011111","1.000000","1.000000","","0.000000","1.000000","Scorer/output fragility"
"LongBench V2 proxy90","ThinK","0.75","90","0","0.000000","","","","","","No selected failures"
"LongBench V2 proxy90","ChunkKV","0.75","90","0","0.000000","","","","","","No selected failures"
"LongBench V2 proxy90","AdaKV","0.75","90","0","0.000000","","","","","","No selected failures"
"LongBench V2 proxy90","Quantized","0.75","90","0","0.000000","","","","","","No selected failures"
"LongBench V2 proxy90","StreamingLLM","0.50","90","0","0.000000","","","","","","No selected failures"
"LongBench V2 proxy90","SnapKV","0.50","90","0","0.000000","","","","","","No selected failures"
"LongBench V2 proxy90","TOVA","0.50","90","0","0.000000","","","","","","No selected failures"
"LongBench V2 proxy90","PyramidKV","0.50","90","0","0.000000","","","","","","No selected failures"
"LongBench V2 proxy90","KeyDiff","0.50","90","1","0.011111","1.000000","1.000000","","0.000000","1.000000","Scorer/output fragility"
"LongBench V2 proxy90","ThinK","0.50","90","1","0.011111","1.000000","1.000000","","0.000000","1.000000","Scorer/output fragility"
"LongBench V2 proxy90","ChunkKV","0.50","90","0","0.000000","","","","","","No selected failures"
"LongBench V2 proxy90","AdaKV","0.50","90","0","0.000000","","","","","","No selected failures"
"LongBench V2 proxy90","Quantized","0.50","90","0","0.000000","","","","","","No selected failures"
"LongBench V2 proxy90","StreamingLLM","0.25","90","0","0.000000","","","","","","No selected failures"
"LongBench V2 proxy90","SnapKV","0.25","90","0","0.000000","","","","","","No selected failures"
"LongBench V2 proxy90","TOVA","0.25","90","0","0.000000","","","","","","No selected failures"
"LongBench V2 proxy90","PyramidKV","0.25","90","0","0.000000","","","","","","No selected failures"
"LongBench V2 proxy90","KeyDiff","0.25","90","1","0.011111","0.995614","1.000000","","0.000000","1.000000","Scorer/output fragility"
"LongBench V2 proxy90","ThinK","0.25","0","0","","","","","","","Unsupported"
"LongBench V2 proxy90","ChunkKV","0.25","90","0","0.000000","","","","","","No selected failures"
"LongBench V2 proxy90","AdaKV","0.25","90","0","0.000000","","","","","","No selected failures"
"LongBench V2 proxy90","Quantized","0.25","90","1","0.011111","1.000000","1.000000","","0.000000","1.000000","Scorer/output fragility"
"Qasper/HotpotQA gold","StreamingLLM","0.75","207","27","0.130435","0.339009","0.376543","0.628777","1.783695","0.414920","Evidence deletion"
"Qasper/HotpotQA gold","SnapKV","0.75","207","6","0.028986","1.000000","1.000000","1.000000","0.187771","0.844290","Mixed"
"Qasper/HotpotQA gold","TOVA","0.75","207","3","0.014493","1.000000","1.000000","1.000000","0.204832","0.846971","Mixed"
"Qasper/HotpotQA gold","PyramidKV","0.75","207","6","0.028986","1.000000","1.000000","1.000000","0.187771","0.844290","Mixed"
"Qasper/HotpotQA gold","KeyDiff","0.75","207","35","0.169082","1.000000","1.000000","1.000000","0.324534","0.797990","Mixed"
"Qasper/HotpotQA gold","ThinK","0.75","207","22","0.106280","1.000000","1.000000","1.000000","0.011798","0.988546","Scorer/output fragility"
"Qasper/HotpotQA gold","ChunkKV","0.75","207","49","0.236715","1.000000","1.000000","0.998911","0.759500","0.669867","Mixed"
"Qasper/HotpotQA gold","AdaKV","0.75","207","5","0.024155","1.000000","1.000000","1.000000","0.091358","0.926446","Scorer/output fragility"
"Qasper/HotpotQA gold","Quantized","0.75","207","4","0.019324","1.000000","1.000000","1.000000","0.002846","0.997171","Scorer/output fragility"
"Qasper/HotpotQA gold","StreamingLLM","0.50","207","56","0.270531","0.188724","0.191964","0.448737","2.018057","0.349221","Evidence deletion"
"Qasper/HotpotQA gold","SnapKV","0.50","207","15","0.072464","1.000000","1.000000","1.000000","0.488804","0.701934","Mixed"
"Qasper/HotpotQA gold","TOVA","0.50","207","14","0.067633","0.999118","1.000000","0.980086","0.369640","0.784868","Mixed"
"Qasper/HotpotQA gold","PyramidKV","0.50","207","15","0.072464","1.000000","1.000000","1.000000","0.488804","0.701934","Mixed"
"Qasper/HotpotQA gold","KeyDiff","0.50","207","75","0.362319","1.000000","1.000000","1.000000","1.294746","0.516915","Retained but drifted"
"Qasper/HotpotQA gold","ThinK","0.50","207","170","0.821256","1.000000","1.000000","1.000000","10.279633","0.071607","Retained but drifted"
"Qasper/HotpotQA gold","ChunkKV","0.50","207","87","0.420290","0.961368","0.984674","0.969963","1.704018","0.410833","Retained but drifted"
"Qasper/HotpotQA gold","AdaKV","0.50","207","14","0.067633","1.000000","1.000000","0.999944","0.284743","0.803600","Mixed"
"Qasper/HotpotQA gold","Quantized","0.50","207","11","0.053140","1.000000","1.000000","1.000000","0.014846","0.986924","Scorer/output fragility"
"Qasper/HotpotQA gold","StreamingLLM","0.25","207","76","0.367150","0.063596","0.063596","0.229703","1.844051","0.347959","Evidence deletion"
"Qasper/HotpotQA gold","SnapKV","0.25","207","29","0.140097","0.996599","1.000000","0.986182","0.829138","0.552008","Mixed"
"Qasper/HotpotQA gold","TOVA","0.25","207","27","0.130435","0.963741","1.000000","0.810403","0.840419","0.580440","Mixed"
"Qasper/HotpotQA gold","PyramidKV","0.25","207","29","0.140097","0.996599","1.000000","0.986182","0.829138","0.552008","Mixed"
"Qasper/HotpotQA gold","KeyDiff","0.25","207","132","0.637681","0.999930","1.000000","0.999971","3.258553","0.260185","Retained but drifted"
"Qasper/HotpotQA gold","ThinK","0.25","0","0","","","","","","","Unsupported"
"Qasper/HotpotQA gold","ChunkKV","0.25","207","123","0.594203","0.777273","0.928184","0.806789","2.746044","0.238204","Likelihood drift"
"Qasper/HotpotQA gold","AdaKV","0.25","207","25","0.120773","0.999781","1.000000","0.988604","0.729832","0.611428","Mixed"
"Qasper/HotpotQA gold","Quantized","0.25","207","149","0.719807","1.000000","1.000000","1.000000","5.668882","0.157648","Retained but drifted"
