method,retained_kv,failures,hotpotqa,qasper,ERR,ECov,DRR,delta_NLL,GPR
StreamingLLM,0.75,27,15,12,0.339009,0.376543,0.628777,1.78369,0.41492
StreamingLLM,0.50,56,36,20,0.188724,0.191964,0.448737,2.01806,0.349221
StreamingLLM,0.25,76,50,26,0.0635965,0.0635965,0.229703,1.84405,0.347959
SnapKV,0.75,6,5,1,1,1,1,0.187771,0.84429
SnapKV,0.50,15,10,5,1,1,1,0.488804,0.701934
SnapKV,0.25,29,22,7,0.996599,1,0.986182,0.829138,0.552008
TOVA,0.75,3,3,0,1,1,1,0.204832,0.846971
TOVA,0.50,14,8,6,0.999118,1,0.980086,0.36964,0.784868
TOVA,0.25,27,17,10,0.963741,1,0.810403,0.840419,0.58044
PyramidKV,0.75,6,5,1,1,1,1,0.187771,0.84429
PyramidKV,0.50,15,10,5,1,1,1,0.488804,0.701934
PyramidKV,0.25,29,22,7,0.996599,1,0.986182,0.829138,0.552008
KeyDiff,0.75,35,24,11,1,1,1,0.324534,0.79799
KeyDiff,0.50,75,51,24,1,1,1,1.29475,0.516915
KeyDiff,0.25,132,98,34,0.99993,1,0.999971,3.25855,0.260185
ThinK,0.75,22,16,6,1,1,1,0.0117979,0.988546
ThinK,0.50,170,124,46,1,1,1,10.2796,0.0716071
ThinK,0.25,0,0,0,,,,,
ChunkKV,0.75,49,35,14,1,1,0.998911,0.7595,0.669867
ChunkKV,0.50,87,65,22,0.961368,0.984674,0.969963,1.70402,0.410833
ChunkKV,0.25,123,99,24,0.777273,0.928184,0.806789,2.74604,0.238204
AdaKV,0.75,5,5,0,1,1,1,0.0913579,0.926446
AdaKV,0.50,14,8,6,1,1,0.999944,0.284743,0.8036
AdaKV,0.25,25,18,7,0.999781,1,0.988604,0.729832,0.611428
Quantized,0.75,4,3,1,1,1,1,0.00284561,0.997171
Quantized,0.50,11,8,3,1,1,1,0.0148459,0.986924
Quantized,0.25,149,107,42,1,1,1,5.66888,0.157648
