method_name,method_display,retained_budget,failure_rows,ECov_slot_mean,delta_NLL_mean,GPR_mean,EAR_mean
StreamingLLMPress,StreamingLLM,0.75,616,0.2622294372294372,1.6077275971855145,0.4795617061877567,0.09168443796328782
StreamingLLMPress,StreamingLLM,0.5,1158,0.16649395509499137,2.030751963549662,0.3459379349210596,0.07322622385655407
StreamingLLMPress,StreamingLLM,0.25,1603,0.07378872946558536,2.1919152037412104,0.2750339933329154,0.04391339814782134
SnapKVPress,SnapKV,0.75,43,0.8616009905254092,0.05621684707850828,0.9510461340474772,0.05359829738241399
SnapKVPress,SnapKV,0.5,160,0.6608315248842593,0.31003046204696755,0.7798932961806931,0.04557030337163308
SnapKVPress,SnapKV,0.25,435,0.47019157088122604,0.7473387662300228,0.5965713842465417,0.045521441752600304
TOVAPress,TOVA,0.75,24,0.950733024691358,0.06129647689590704,0.9566841869011043,0.22789126917265567
TOVAPress,TOVA,0.5,95,0.7130458089668615,0.19047705172285836,0.8693928110520819,0.19094157529105396
TOVAPress,TOVA,0.25,406,0.44478197409231895,0.8032139215584255,0.5921775807763298,0.15276207962628902
KeyDiffPress,KeyDiff,0.75,126,0.9339823082010582,0.1626335837472907,0.8880250212679278,0.0969372793140493
KeyDiffPress,KeyDiff,0.5,329,0.5818352119216481,0.7271300502448594,0.6671707302764495,0.07337652457820372
KeyDiffPress,KeyDiff,0.25,692,0.2992268618871762,1.4742680563927713,0.5128803729353698,0.07180577329175791
ThinKPress,ThinK,0.75,60,,0.015315807470908256,0.9867082715547638,1.0118645331281146
ThinKPress,ThinK,0.5,2089,,8.086404604213396,0.024019908434499374,0.06296204514693411
ThinKPress,ThinK,0.25,0,,,,
ChunkKVPress_Knorm,ChunkKV,0.75,384,0.6952811535493827,0.5874392369361773,0.7775510525428158,
ChunkKVPress_Knorm,ChunkKV,0.5,756,0.5424872623946698,1.095708743576459,0.6160993284155231,
ChunkKVPress_Knorm,ChunkKV,0.25,1084,0.4135848025146918,1.6607520083703415,0.4338780209138406,
AdaKVPress,AdaKV,0.75,27,0.8633337620027435,0.018317026271919428,0.9850031361898203,
AdaKVPress,AdaKV,0.5,108,0.6516728823731138,0.16618512464839666,0.880203517812073,
AdaKVPress,AdaKV,0.25,389,0.47363774040750256,0.6607917205247066,0.6259888923164119,
QuantizedCache,QuantizedCache,0.75,17,,0.009437288259006098,0.9911430970341092,0.9983206234815039
QuantizedCache,QuantizedCache,0.5,66,,0.0061574299068749795,0.9952817353894295,0.9687159873090726
QuantizedCache,QuantizedCache,0.25,1853,,2.584023618784962,0.2522211417766395,0.5539993603778668
